n,r
"(:tag {updated_at: ""2024-04-26T15:33:48.090725700"",active: true,created_at: ""2024-04-26T15:33:48.090725700"",label: ""TAG 40""})",[:TAGGED_BY]
"(:recipe {instructions: ""Est blanditiis quo officiis iusto. Aut molestias qui explicabo nemo. Qui sequi qui doloribus."",updated_at: ""2024-04-26T15:33:53.872037100"",name: ""recipe153"",created_at: ""2024-04-26T15:33:53.872037100"",ingredients: ""Consequatur et quia non."",description: ""Veniam saepe cum ducimus."",active: true})",[:CREATED_BY]
"(:user {identifier: ""@lívia.siqueira"",password: ""123456"",administrator: false,updated_at: ""2024-04-26T15:33:47.756960300"",name: ""Dra. Maria Vitória Gomes"",created_at: ""2024-04-26T15:33:47.756960300"",active: true,bio: ""Aspernatur inventore reprehenderit numquam nihil."",birthDate: ""2024-04-26"",email: ""vinicius.coqueiro@gmail.com""})",[:CREATED_BY]
"(:recipe {instructions: ""Est blanditiis quo officiis iusto. Aut molestias qui explicabo nemo. Qui sequi qui doloribus."",updated_at: ""2024-04-26T15:33:53.872037100"",name: ""recipe153"",created_at: ""2024-04-26T15:33:53.872037100"",ingredients: ""Consequatur et quia non."",description: ""Veniam saepe cum ducimus."",active: true})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:48.323075600"",active: true,created_at: ""2024-04-26T15:33:48.323075600"",label: ""TAG 84""})",[:TAGGED_BY]
"(:recipe {instructions: ""Est blanditiis quo officiis iusto. Aut molestias qui explicabo nemo. Qui sequi qui doloribus."",updated_at: ""2024-04-26T15:33:53.872037100"",name: ""recipe153"",created_at: ""2024-04-26T15:33:53.872037100"",ingredients: ""Consequatur et quia non."",description: ""Veniam saepe cum ducimus."",active: true})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:48.145123800"",active: true,created_at: ""2024-04-26T15:33:48.145123800"",label: ""TAG 51""})",[:TAGGED_BY]
"(:recipe {instructions: ""Fugit nihil eos nihil voluptates ut itaque. Et maiores ex. Dolorum corrupti earum. Qui quis assumenda vitae maiores repellat sunt. Totam sint porro aperiam."",updated_at: ""2024-04-26T15:33:53.923982600"",name: ""recipe154"",created_at: ""2024-04-26T15:33:53.923982600"",ingredients: ""Recusandae ipsa ratione."",description: ""Laudantium eos laboriosam eius at."",active: true})",[:CREATED_BY]
"(:user {identifier: ""@lívia.siqueira"",password: ""123456"",administrator: false,updated_at: ""2024-04-26T15:33:47.756960300"",name: ""Dra. Maria Vitória Gomes"",created_at: ""2024-04-26T15:33:47.756960300"",active: true,bio: ""Aspernatur inventore reprehenderit numquam nihil."",birthDate: ""2024-04-26"",email: ""vinicius.coqueiro@gmail.com""})",[:CREATED_BY]
"(:recipe {instructions: ""Fugit nihil eos nihil voluptates ut itaque. Et maiores ex. Dolorum corrupti earum. Qui quis assumenda vitae maiores repellat sunt. Totam sint porro aperiam."",updated_at: ""2024-04-26T15:33:53.923982600"",name: ""recipe154"",created_at: ""2024-04-26T15:33:53.923982600"",ingredients: ""Recusandae ipsa ratione."",description: ""Laudantium eos laboriosam eius at."",active: true})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:48.080381000"",active: true,created_at: ""2024-04-26T15:33:48.080381000"",label: ""TAG 38""})",[:TAGGED_BY]
"(:recipe {instructions: ""Fugit nihil eos nihil voluptates ut itaque. Et maiores ex. Dolorum corrupti earum. Qui quis assumenda vitae maiores repellat sunt. Totam sint porro aperiam."",updated_at: ""2024-04-26T15:33:53.923982600"",name: ""recipe154"",created_at: ""2024-04-26T15:33:53.923982600"",ingredients: ""Recusandae ipsa ratione."",description: ""Laudantium eos laboriosam eius at."",active: true})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:47.817697200"",active: true,created_at: ""2024-04-26T15:33:47.817697200"",label: ""TAG 2""})",[:TAGGED_BY]
"(:recipe {instructions: ""Sunt at eligendi dolores numquam. Fuga ullam voluptatum corporis velit recusandae. Et natus et laudantium praesentium voluptatibus mollitia dolores. Nisi soluta et expedita odit qui et praesentium. Autem ratione fugit quaerat ad quidem quidem rerum."",updated_at: ""2024-04-26T15:33:53.969698100"",name: ""recipe155"",active: true,created_at: ""2024-04-26T15:33:53.969698100"",description: ""Labore quasi laboriosam enim quasi."",ingredients: ""Nihil asperiores harum laudantium sed consequatur.""})",[:CREATED_BY]
"(:user {identifier: ""@lívia.siqueira"",password: ""123456"",administrator: false,updated_at: ""2024-04-26T15:33:47.756960300"",name: ""Dra. Maria Vitória Gomes"",created_at: ""2024-04-26T15:33:47.756960300"",active: true,bio: ""Aspernatur inventore reprehenderit numquam nihil."",birthDate: ""2024-04-26"",email: ""vinicius.coqueiro@gmail.com""})",[:CREATED_BY]
"(:recipe {instructions: ""Sunt at eligendi dolores numquam. Fuga ullam voluptatum corporis velit recusandae. Et natus et laudantium praesentium voluptatibus mollitia dolores. Nisi soluta et expedita odit qui et praesentium. Autem ratione fugit quaerat ad quidem quidem rerum."",updated_at: ""2024-04-26T15:33:53.969698100"",name: ""recipe155"",active: true,created_at: ""2024-04-26T15:33:53.969698100"",description: ""Labore quasi laboriosam enim quasi."",ingredients: ""Nihil asperiores harum laudantium sed consequatur.""})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:48.048317700"",active: true,created_at: ""2024-04-26T15:33:48.048317700"",label: ""TAG 31""})",[:TAGGED_BY]
"(:recipe {instructions: ""Sunt at eligendi dolores numquam. Fuga ullam voluptatum corporis velit recusandae. Et natus et laudantium praesentium voluptatibus mollitia dolores. Nisi soluta et expedita odit qui et praesentium. Autem ratione fugit quaerat ad quidem quidem rerum."",updated_at: ""2024-04-26T15:33:53.969698100"",name: ""recipe155"",active: true,created_at: ""2024-04-26T15:33:53.969698100"",description: ""Labore quasi laboriosam enim quasi."",ingredients: ""Nihil asperiores harum laudantium sed consequatur.""})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:48.224135400"",active: true,created_at: ""2024-04-26T15:33:48.224135400"",label: ""TAG 66""})",[:TAGGED_BY]
"(:recipe {instructions: ""Doloremque laudantium et enim dicta. Dolor alias necessitatibus molestias perferendis est sapiente. Aspernatur ea rerum magni."",updated_at: ""2024-04-26T15:33:54.010384000"",name: ""recipe156"",active: true,created_at: ""2024-04-26T15:33:54.010384000"",ingredients: ""Dignissimos voluptatem repudiandae."",description: ""Vel et id molestiae nesciunt quam provident sed.""})",[:CREATED_BY]
"(:user {identifier: ""@lívia.siqueira"",password: ""123456"",administrator: false,updated_at: ""2024-04-26T15:33:47.756960300"",name: ""Dra. Maria Vitória Gomes"",created_at: ""2024-04-26T15:33:47.756960300"",active: true,bio: ""Aspernatur inventore reprehenderit numquam nihil."",birthDate: ""2024-04-26"",email: ""vinicius.coqueiro@gmail.com""})",[:CREATED_BY]
"(:recipe {instructions: ""Doloremque laudantium et enim dicta. Dolor alias necessitatibus molestias perferendis est sapiente. Aspernatur ea rerum magni."",updated_at: ""2024-04-26T15:33:54.010384000"",name: ""recipe156"",active: true,created_at: ""2024-04-26T15:33:54.010384000"",ingredients: ""Dignissimos voluptatem repudiandae."",description: ""Vel et id molestiae nesciunt quam provident sed.""})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:48.284552200"",active: true,created_at: ""2024-04-26T15:33:48.284552200"",label: ""TAG 77""})",[:TAGGED_BY]
"(:recipe {instructions: ""Doloremque laudantium et enim dicta. Dolor alias necessitatibus molestias perferendis est sapiente. Aspernatur ea rerum magni."",updated_at: ""2024-04-26T15:33:54.010384000"",name: ""recipe156"",active: true,created_at: ""2024-04-26T15:33:54.010384000"",ingredients: ""Dignissimos voluptatem repudiandae."",description: ""Vel et id molestiae nesciunt quam provident sed.""})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:47.853153400"",active: true,created_at: ""2024-04-26T15:33:47.853153400"",label: ""TAG 6""})",[:TAGGED_BY]
"(:recipe {instructions: ""Qui vel facere ut ad debitis. Tempora magnam totam suscipit nemo odit nesciunt. Deserunt odit non est mollitia. Debitis iste doloremque minima odio possimus est dolores."",updated_at: ""2024-04-26T15:33:54.051384900"",name: ""recipe157"",created_at: ""2024-04-26T15:33:54.051384900"",ingredients: ""Rerum dolor magni."",active: true,description: ""Pariatur dolor est enim est nulla voluptatem.""})",[:CREATED_BY]
"(:user {identifier: ""@lívia.siqueira"",password: ""123456"",administrator: false,updated_at: ""2024-04-26T15:33:47.756960300"",name: ""Dra. Maria Vitória Gomes"",created_at: ""2024-04-26T15:33:47.756960300"",active: true,bio: ""Aspernatur inventore reprehenderit numquam nihil."",birthDate: ""2024-04-26"",email: ""vinicius.coqueiro@gmail.com""})",[:CREATED_BY]
"(:recipe {instructions: ""Qui vel facere ut ad debitis. Tempora magnam totam suscipit nemo odit nesciunt. Deserunt odit non est mollitia. Debitis iste doloremque minima odio possimus est dolores."",updated_at: ""2024-04-26T15:33:54.051384900"",name: ""recipe157"",created_at: ""2024-04-26T15:33:54.051384900"",ingredients: ""Rerum dolor magni."",active: true,description: ""Pariatur dolor est enim est nulla voluptatem.""})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:48.140122800"",active: true,created_at: ""2024-04-26T15:33:48.140122800"",label: ""TAG 50""})",[:TAGGED_BY]
"(:recipe {instructions: ""Qui vel facere ut ad debitis. Tempora magnam totam suscipit nemo odit nesciunt. Deserunt odit non est mollitia. Debitis iste doloremque minima odio possimus est dolores."",updated_at: ""2024-04-26T15:33:54.051384900"",name: ""recipe157"",created_at: ""2024-04-26T15:33:54.051384900"",ingredients: ""Rerum dolor magni."",active: true,description: ""Pariatur dolor est enim est nulla voluptatem.""})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:48.044317900"",active: true,created_at: ""2024-04-26T15:33:48.044317900"",label: ""TAG 30""})",[:TAGGED_BY]
"(:recipe {instructions: ""Saepe praesentium enim nam repudiandae sed laborum. Omnis autem odio voluptatem. Non ut aspernatur recusandae veritatis eaque repellendus aut."",updated_at: ""2024-04-26T15:33:54.101384400"",name: ""recipe158"",created_at: ""2024-04-26T15:33:54.101384400"",ingredients: ""Cupiditate quam quo."",description: ""Incidunt voluptatem quia libero."",active: true})",[:CREATED_BY]
"(:user {identifier: ""@lívia.siqueira"",password: ""123456"",administrator: false,updated_at: ""2024-04-26T15:33:47.756960300"",name: ""Dra. Maria Vitória Gomes"",created_at: ""2024-04-26T15:33:47.756960300"",active: true,bio: ""Aspernatur inventore reprehenderit numquam nihil."",birthDate: ""2024-04-26"",email: ""vinicius.coqueiro@gmail.com""})",[:CREATED_BY]
"(:recipe {instructions: ""Saepe praesentium enim nam repudiandae sed laborum. Omnis autem odio voluptatem. Non ut aspernatur recusandae veritatis eaque repellendus aut."",updated_at: ""2024-04-26T15:33:54.101384400"",name: ""recipe158"",created_at: ""2024-04-26T15:33:54.101384400"",ingredients: ""Cupiditate quam quo."",description: ""Incidunt voluptatem quia libero."",active: true})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:48.343479900"",active: true,created_at: ""2024-04-26T15:33:48.343479900"",label: ""TAG 88""})",[:TAGGED_BY]
"(:recipe {instructions: ""Saepe praesentium enim nam repudiandae sed laborum. Omnis autem odio voluptatem. Non ut aspernatur recusandae veritatis eaque repellendus aut."",updated_at: ""2024-04-26T15:33:54.101384400"",name: ""recipe158"",created_at: ""2024-04-26T15:33:54.101384400"",ingredients: ""Cupiditate quam quo."",description: ""Incidunt voluptatem quia libero."",active: true})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:48.369478800"",active: true,created_at: ""2024-04-26T15:33:48.369478800"",label: ""TAG 93""})",[:TAGGED_BY]
"(:recipe {instructions: ""Eveniet quis modi provident explicabo dicta ad. Corrupti tenetur aut voluptas voluptas sunt. Voluptatum odit est eligendi dolore aut ullam. Debitis est sunt itaque. Quia ut voluptas in voluptatibus esse consequatur blanditiis."",updated_at: ""2024-04-26T15:33:54.147388700"",name: ""recipe159"",active: true,created_at: ""2024-04-26T15:33:54.147388700"",ingredients: ""Molestiae voluptatem autem."",description: ""Autem commodi assumenda non harum recusandae velit.""})",[:CREATED_BY]
"(:user {identifier: ""@lívia.siqueira"",password: ""123456"",administrator: false,updated_at: ""2024-04-26T15:33:47.756960300"",name: ""Dra. Maria Vitória Gomes"",created_at: ""2024-04-26T15:33:47.756960300"",active: true,bio: ""Aspernatur inventore reprehenderit numquam nihil."",birthDate: ""2024-04-26"",email: ""vinicius.coqueiro@gmail.com""})",[:CREATED_BY]
"(:recipe {instructions: ""Eveniet quis modi provident explicabo dicta ad. Corrupti tenetur aut voluptas voluptas sunt. Voluptatum odit est eligendi dolore aut ullam. Debitis est sunt itaque. Quia ut voluptas in voluptatibus esse consequatur blanditiis."",updated_at: ""2024-04-26T15:33:54.147388700"",name: ""recipe159"",active: true,created_at: ""2024-04-26T15:33:54.147388700"",ingredients: ""Molestiae voluptatem autem."",description: ""Autem commodi assumenda non harum recusandae velit.""})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:47.916237000"",active: true,created_at: ""2024-04-26T15:33:47.916237000"",label: ""TAG 13""})",[:TAGGED_BY]
"(:recipe {instructions: ""Eveniet quis modi provident explicabo dicta ad. Corrupti tenetur aut voluptas voluptas sunt. Voluptatum odit est eligendi dolore aut ullam. Debitis est sunt itaque. Quia ut voluptas in voluptatibus esse consequatur blanditiis."",updated_at: ""2024-04-26T15:33:54.147388700"",name: ""recipe159"",active: true,created_at: ""2024-04-26T15:33:54.147388700"",ingredients: ""Molestiae voluptatem autem."",description: ""Autem commodi assumenda non harum recusandae velit.""})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:48.306551600"",active: true,created_at: ""2024-04-26T15:33:48.306551600"",label: ""TAG 81""})",[:TAGGED_BY]
"(:recipe {instructions: ""Necessitatibus quasi animi voluptatem. Quas sunt similique pariatur eligendi quia. Error quis quae vel rerum hic esse. Quisquam minus unde dolorum fugiat aut qui ut. Architecto dolorum et ut."",updated_at: ""2024-04-26T15:33:54.191385700"",name: ""recipe160"",created_at: ""2024-04-26T15:33:54.191385700"",ingredients: ""Veritatis omnis omnis enim fugit et omnis."",active: true,description: ""Nostrum sed nobis omnis exercitationem quia dignissimos.""})",[:CREATED_BY]
"(:user {identifier: ""@lívia.siqueira"",password: ""123456"",administrator: false,updated_at: ""2024-04-26T15:33:47.756960300"",name: ""Dra. Maria Vitória Gomes"",created_at: ""2024-04-26T15:33:47.756960300"",active: true,bio: ""Aspernatur inventore reprehenderit numquam nihil."",birthDate: ""2024-04-26"",email: ""vinicius.coqueiro@gmail.com""})",[:CREATED_BY]
"(:recipe {instructions: ""Necessitatibus quasi animi voluptatem. Quas sunt similique pariatur eligendi quia. Error quis quae vel rerum hic esse. Quisquam minus unde dolorum fugiat aut qui ut. Architecto dolorum et ut."",updated_at: ""2024-04-26T15:33:54.191385700"",name: ""recipe160"",created_at: ""2024-04-26T15:33:54.191385700"",ingredients: ""Veritatis omnis omnis enim fugit et omnis."",active: true,description: ""Nostrum sed nobis omnis exercitationem quia dignissimos.""})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:48.317553700"",active: true,created_at: ""2024-04-26T15:33:48.317553700"",label: ""TAG 83""})",[:TAGGED_BY]
"(:recipe {instructions: ""Necessitatibus quasi animi voluptatem. Quas sunt similique pariatur eligendi quia. Error quis quae vel rerum hic esse. Quisquam minus unde dolorum fugiat aut qui ut. Architecto dolorum et ut."",updated_at: ""2024-04-26T15:33:54.191385700"",name: ""recipe160"",created_at: ""2024-04-26T15:33:54.191385700"",ingredients: ""Veritatis omnis omnis enim fugit et omnis."",active: true,description: ""Nostrum sed nobis omnis exercitationem quia dignissimos.""})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:48.284552200"",active: true,created_at: ""2024-04-26T15:33:48.284552200"",label: ""TAG 77""})",[:TAGGED_BY]
"(:recipe {instructions: ""Ad voluptas iste molestiae ab ab. Ullam ipsam et ratione ratione aut. Rerum ipsa et."",updated_at: ""2024-04-26T15:33:54.233384000"",name: ""recipe161"",active: true,created_at: ""2024-04-26T15:33:54.233384000"",description: ""Eaque ex voluptate ullam dolorem."",ingredients: ""Culpa dolorum dignissimos distinctio.""})",[:CREATED_BY]
"(:user {identifier: ""@lívia.siqueira"",password: ""123456"",administrator: false,updated_at: ""2024-04-26T15:33:47.756960300"",name: ""Dra. Maria Vitória Gomes"",created_at: ""2024-04-26T15:33:47.756960300"",active: true,bio: ""Aspernatur inventore reprehenderit numquam nihil."",birthDate: ""2024-04-26"",email: ""vinicius.coqueiro@gmail.com""})",[:CREATED_BY]
"(:recipe {instructions: ""Ad voluptas iste molestiae ab ab. Ullam ipsam et ratione ratione aut. Rerum ipsa et."",updated_at: ""2024-04-26T15:33:54.233384000"",name: ""recipe161"",active: true,created_at: ""2024-04-26T15:33:54.233384000"",description: ""Eaque ex voluptate ullam dolorem."",ingredients: ""Culpa dolorum dignissimos distinctio.""})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:48.252554600"",active: true,created_at: ""2024-04-26T15:33:48.252554600"",label: ""TAG 71""})",[:TAGGED_BY]
"(:recipe {instructions: ""Ad voluptas iste molestiae ab ab. Ullam ipsam et ratione ratione aut. Rerum ipsa et."",updated_at: ""2024-04-26T15:33:54.233384000"",name: ""recipe161"",active: true,created_at: ""2024-04-26T15:33:54.233384000"",description: ""Eaque ex voluptate ullam dolorem."",ingredients: ""Culpa dolorum dignissimos distinctio.""})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:47.925239800"",active: true,created_at: ""2024-04-26T15:33:47.925239800"",label: ""TAG 14""})",[:TAGGED_BY]
"(:recipe {instructions: ""Tempora quaerat ducimus ut a et. Qui voluptatem illum laboriosam omnis vero veritatis blanditiis. Et voluptatum mollitia. Et nobis aut nemo sapiente sint accusantium fugiat. Animi veniam quas et nihil nihil et pariatur."",updated_at: ""2024-04-26T15:33:54.278385100"",name: ""recipe162"",active: true,created_at: ""2024-04-26T15:33:54.278385100"",description: ""Eum ut ut sint nemo sunt saepe."",ingredients: ""Consequatur quis tenetur ratione dolorem quo.""})",[:CREATED_BY]
"(:user {identifier: ""@lívia.siqueira"",password: ""123456"",administrator: false,updated_at: ""2024-04-26T15:33:47.756960300"",name: ""Dra. Maria Vitória Gomes"",created_at: ""2024-04-26T15:33:47.756960300"",active: true,bio: ""Aspernatur inventore reprehenderit numquam nihil."",birthDate: ""2024-04-26"",email: ""vinicius.coqueiro@gmail.com""})",[:CREATED_BY]
"(:recipe {instructions: ""Dicta quia ullam qui laborum ipsum ab. Deserunt inventore maxime quia totam quos corporis. Exercitationem in rerum. Repudiandae sequi a culpa possimus est sunt et."",updated_at: ""2024-04-26T15:33:54.356865200"",name: ""recipe164"",created_at: ""2024-04-26T15:33:54.356865200"",ingredients: ""Blanditiis laudantium omnis voluptatem officia sed."",active: true,description: ""Molestiae dolore perferendis omnis omnis iure.""})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:48.323075600"",active: true,created_at: ""2024-04-26T15:33:48.323075600"",label: ""TAG 84""})",[:TAGGED_BY]
"(:recipe {instructions: ""Dicta quia ullam qui laborum ipsum ab. Deserunt inventore maxime quia totam quos corporis. Exercitationem in rerum. Repudiandae sequi a culpa possimus est sunt et."",updated_at: ""2024-04-26T15:33:54.356865200"",name: ""recipe164"",created_at: ""2024-04-26T15:33:54.356865200"",ingredients: ""Blanditiis laudantium omnis voluptatem officia sed."",active: true,description: ""Molestiae dolore perferendis omnis omnis iure.""})",[:TAGGED_BY]
"(:tag {updated_at: ""2024-04-26T15:33:47.943247300"",active: true,created_at: ""2024-04-26T15:33:47.943247300"",label: ""TAG 16""})",[:TAGGED_BY]
